GeneID	logFC	logCPM	F	PValue	FDR
AT1G44960	-0.0151992598976337	4.6525876045948	0.000214450541317409	0.988316117811103	1
AT5G04560	-0.0149185815635194	4.58794358351136	0.000213467569437203	0.98834292422422	1
AT5G43940	0.00620283832772058	8.06966022827071	0.000207531196666233	0.988506142941192	1
AT5G10740	0.0115322554550857	4.25453121901166	0.000206870568650003	0.988524450289906	1
AT3G15710	0.0124067351897495	5.25551064529753	0.000205005330178769	0.988576298251785	1
AT5G55390	-0.0186097574727097	4.08554630733502	0.000203955019830858	0.988605597543254	1
AT1G19110	0.0101503542559406	4.66282739005602	0.000197709056846421	0.988781414820466	1
AT1G10340	-0.0280998171759918	3.54748324910735	0.000196766716866493	0.988808180547761	1
AT2G32280	-0.0280998171759918	3.54748324910735	0.000196766716866493	0.988808180547761	1
AT4G00840	-0.0280998171759918	3.54748324910735	0.000196766716866493	0.988808180547761	1
AT1G09830	0.0186230110117569	4.70304624804804	0.000196627730684492	0.988812153920784	1
AT1G01690	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G05310	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G08400	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G09040	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G09220	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G13370	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G13448	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G17950	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G19050	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G23450	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G24260	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G24320	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G27170	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G28370	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G30750	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G35290	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G49030	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G53165	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G55790	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G60740	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G64700	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G67070	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G67600	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G68430	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G70140	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G73210	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
AT1G76320	-0.0373911302460515	3.30801554523554	0.000196211893263517	0.988823969453546	1
