"GeneID","logFC","logCPM","F","PValue","FDR","Expression"
"AT1G56110",2.04163715489552,6.9478862944103,15.6406413855825,7.69631972978508e-05,0.0369102667040943,"Up-regulated (Royal CBDV)"
"AT3G49120",1.89746822169506,7.44932642881647,15.3820356534085,8.78531611039653e-05,0.0414420435264987,"Up-regulated (Royal CBDV)"
"AT5G13170",1.9226491976912,7.79171024955313,15.7301278369299,8.92930216730815e-05,0.0414420435264987,"Up-regulated (Royal CBDV)"
"AT3G63470",-4.34901102575999,3.73729029934225,15.3207867880127,9.0988429663923e-05,0.0415586041837998,"Down-regulated (Solomatic)"
"AT5G17460",1.80869409827433,7.87635047316188,15.1665135201443,9.8470659947607e-05,0.0442733318748811,"Up-regulated (Royal CBDV)"
"AT3G11120",1.96759378651628,7.09227435582211,15.0670231848661,0.000103798758892723,0.045950912109817,"Up-regulated (Royal CBDV)"
"AT5G49730",-1.87538426674497,7.15170760968206,14.9250235716409,0.000111910060984614,0.0487304067099634,"Down-regulated (Solomatic)"
"AT2G39730",-1.54492740418669,10.8750392202131,14.8989995954822,0.000113464370097917,0.0487304067099634,"Down-regulated (Solomatic)"
"AT3G15353",-1.55687880846812,10.5636046883732,14.8650180986487,0.000115657330642918,0.0489417601360287,"Down-regulated (Solomatic)"
"AT1G68570",2.69487003872762,5.67726721135116,14.689494974202,0.000126795707732963,0.0528774853625507,"Not Significant"
"AT1G67060",2.71225898932987,5.6834076689956,14.5954954753623,0.0001332792505439,0.0547872919200101,"Not Significant"
"AT4G39210",2.81953360611124,5.54223728161685,14.5201269791888,0.000138718102642972,0.0562199070922751,"Not Significant"
"AT1G56045",1.73293541659034,8.10628672635738,14.4432663348223,0.000144494907805272,0.0577477912791208,"Not Significant"
"AT2G43510",1.7786302483171,7.70383545778093,14.3825480892011,0.000149229270799362,0.0588229077705706,"Not Significant"
"AT2G38870",1.57433735468723,9.73081504703804,14.3250959065195,0.000153852741207925,0.0598258463278113,"Not Significant"
"AT5G06530",3.09203652800182,5.2843357637148,14.1657307392567,0.000167446999138257,0.0642438320027115,"Not Significant"
"AT3G18250",1.65920935056283,8.49879779885487,14.0562051920989,0.00017748527063085,0.0671991929263515,"Not Significant"
"AT1G28330",-1.68987132912692,7.92125277750608,14.0198103629707,0.000180953397107361,0.0676225195034326,"Not Significant"
"AT1G19970",8.40725136855223,4.25700503661689,13.9313848829259,0.000189666752368864,0.0699700102488983,"Not Significant"
"AT3G48480",-4.99990501463678,1.27135679951073,30.0526556845333,0.000196701899582411,0.0716467994997961,"Not Significant"
"AT1G11260",-1.75768241651025,7.20829507838607,13.6574425938261,0.000219437810425662,0.0776578298651814,"Not Significant"
"AT1G24100",2.75709885505942,5.48135057527799,13.6432527737056,0.000221102296612909,0.0776578298651814,"Not Significant"
"AT5G20920",1.85039699281154,7.12792560320559,13.6415643121087,0.00022130120065838,0.0776578298651814,"Not Significant"
"AT5G03285",3.08315752568937,5.20569283306857,13.6007569497021,0.000226163612666681,0.0784079271624549,"Not Significant"
"AT3G47070",-1.58932625810795,8.70869681176481,13.5388559646137,0.000233745774219131,0.080071841108994,"Not Significant"
"AT5G55050",3.30937332599666,5.05133390260418,13.2993630887088,0.000265574285973572,0.089904706810465,"Not Significant"
"AT1G69260",2.80439313894763,5.34141129150797,12.9440010431447,0.000321037940552619,0.105486766052729,"Not Significant"
"AT4G14690",2.98404057419172,5.19828198612488,12.9451763499138,0.000321408334338545,0.105486766052729,"Not Significant"
"AT4G13850",1.59794306148366,8.38814736940186,12.9349098495843,0.000322600709388016,0.105486766052729,"Not Significant"
"AT4G36640",3.25486482788074,5.01993010502046,12.8914309550307,0.000330181435593525,0.105651371862315,"Not Significant"
"AT5G19540",-1.49733985800243,9.49128403922272,12.888747068951,0.000331494007276976,0.105651371862315,"Not Significant"
"AT4G02380",1.53885385501875,8.96562230512232,12.8692427042915,0.000334119021354324,0.105651371862315,"Not Significant"
"AT1G61800",2.23264602205456,6.03602110101344,12.7917165241298,0.000348360691914369,0.108957379454739,"Not Significant"
"AT4G13730",-1.84347332861261,6.52257755919841,12.6252104089145,0.000380680475150492,0.117785813682316,"Not Significant"
"AT1G24600",8.26771121043741,4.10814287093193,12.604178925208,0.000384987539815269,0.117851238916855,"Not Significant"
"AT5G02160",-1.57819500618431,8.20698034468198,12.5624471228579,0.000393679953685586,0.119243585971608,"Not Significant"
"AT2G37170",-1.45036140155886,9.76297865851122,12.4129826814946,0.000426469433406274,0.127829770273599,"Not Significant"
"AT1G01470",1.50972656224268,8.89456751590154,12.3334502624113,0.000445598518967111,0.132186570961635,"Not Significant"
"AT3G23000",1.78609286700003,6.93890443460728,12.2646231453454,0.000461742990458705,0.13269203164913,"Not Significant"
"AT4G22490",2.07966658569976,6.18627057791312,12.2491435195202,0.000465589012855876,0.13269203164913,"Not Significant"
"AT4G31580",2.3850358218055,5.67416799580423,12.2463920375012,0.000466380186841718,0.13269203164913,"Not Significant"
"AT2G36610",-5.42166276216761,0.95378042285206,52.3510376426283,0.00048419324249536,0.13269203164913,"Not Significant"
"AT1G62590",-5.43585035344041,0.95718827879758,48.3601345540525,0.00048419329412609,0.13269203164913,"Not Significant"
"AT5G38212",-5.43585035344041,0.95718827879758,48.3601345540525,0.00048419329412609,0.13269203164913,"Not Significant"
"AT2G19960",-5.44475832870066,0.959300576357518,44.6488364250311,0.000484193338771804,0.13269203164913,"Not Significant"
"AT5G46770",-5.44475832870066,0.959300576357518,44.6488364250311,0.000484193338771804,0.13269203164913,"Not Significant"
"AT5G56870",-2.69036887996996,4.58514027422496,12.1373105832017,0.00049435235652092,0.134198009989523,"Not Significant"
"AT3G22310",2.63957385295336,5.40601760119037,12.114292623381,0.000500491626387783,0.13459482756363,"Not Significant"
"AT1G13400",-4.13461749135072,1.62940688303751,12.0876133821783,0.000507703784626158,0.13527015187609,"Not Significant"
"AT3G06680",1.67026167873616,7.36349526903331,12.0136932263868,0.000528239337015741,0.138884864951644,"Not Significant"
"AT2G39030",2.95791131944208,5.10554363829102,12.0042448970944,0.000530923897295599,0.138884864951644,"Not Significant"
"AT5G11880",1.6066293357594,7.73991173120518,11.9644490747011,0.00054238313171055,0.13994005380064,"Not Significant"
"AT4G14580",4.28851801286943,4.46151058548524,11.9565605063498,0.00054468413642647,0.13994005380064,"Not Significant"
"AT1G56340",1.61200119923904,7.66347994101239,11.8671667360473,0.000571458289477277,0.143831029334475,"Not Significant"
