"GeneID","logFC","logCPM","F","PValue","FDR"
"AT1G25560",3.48480526468044,5.15143118290548,13.6891192446739,0.0002158009526809,0.0428253269889165
"AT3G16460",1.80500077399464,7.3499629327332,13.6360257464204,0.000221989082516467,0.0437516154069269
"AT2G43910",1.77778975479774,7.42256276686606,13.4807695794852,0.000241129872160223,0.0472007623905472
"AT2G01520",2.08795566066809,6.56551805576719,13.4601092349663,0.000243799403580717,0.0474008637705077
"AT1G68670",2.55044878869702,5.86152851005491,13.4146238349252,0.000249782043419402,0.048042113849316
"AT3G48360",3.18844212844177,5.27439082220685,13.4097130755991,0.000250436735965157,0.048042113849316
"AT1G19660",2.11794522547833,6.51369968764694,13.3962511685813,0.000252508175928423,0.0481186937903336
"AT1G49750",2.44039156128334,5.95266746596862,13.3738161616615,0.000255275264254449,0.0483259587429064
"AT1G80440",2.43603404914445,5.96240028364707,13.3225085493912,0.000262355053458195,0.0493416121781671
"AT4G23400",1.83374103588524,7.18004193639292,13.2920772342436,0.000266647351454309,0.0498232307668685
